activity,activity_name,declared_date,first_event_date,lag_days
A01,Fault report issued,2011-12-21,2011-12-21,0
A02,Permit approval,2011-12-21,2011-12-21,0
A03,Supervisory unit review,2011-12-21,2011-12-21,0
A04,Work request receipt (Division),2012-03-18,2012-03-18,0
A05,Work request receipt (Department),2011-12-21,2011-12-21,0
A06,Work request receipt (Technician),2011-12-21,2011-12-21,0
A07,Isolation and work authorization,2012-03-18,2012-03-18,0
A08,Maintenance execution,2011-12-21,2011-12-21,0
A09,Work completion approval,2011-12-21,2011-12-21,0
A10,Work report approval,2012-03-02,2012-03-02,0
A11,Work report (Department head),2012-07-03,2012-10-16,105
A12,Receipt acknowledgement (Division),2012-06-06,2012-09-13,99
A13,Receipt acknowledgement (Department),2012-06-13,2012-09-21,100
A14,Receipt acknowledgement (Technician),2012-07-13,2012-10-15,94
A15,Supervisory unit attendance,2011-12-21,2011-12-21,0
A16,Safety attendance,2011-12-22,2011-12-22,0
